Tweets,len,ID,Date,Source,Likes,RTs,SA
@Bishopellchapo Hello Bishop. We sincerely apologise for the unpleasant experience. Kindly provide us with the foll… https://t.co/b4Fp0R6xhV,140,1.13E+18,10/5/2019 08:38,Twitter Web Client,0,0,1
@dirkxonn 👍,11,1.13E+18,10/5/2019 08:36,Twitter Web Client,0,0,0
"@shayno_mak Hi @shayno_mak, may you DM your mobile number and please confirm the name of the App you are falling to… https://t.co/ximwk73GnU",140,1.13E+18,10/5/2019 08:36,Twitter Web Client,0,0,0
@ceezyzw Please check your inbox for our response. ^DTM,55,1.13E+18,10/5/2019 08:31,Twitter Web Client,0,0,0
"@nashrutsate Hello Nash, we sincerely apologise that we have no means to locate them. ^VM",89,1.13E+18,10/5/2019 08:31,Twitter Web Client,0,0,1
@mnhenderere It is a direct message or (inbox). ^VM,51,1.13E+18,10/5/2019 08:29,Twitter Web Client,0,0,1
"@Evemildred Hello Eve. We sincerely apologise for the unpleasant experience. Kindly DM us the following details:
•F… https://t.co/tco1aFSGOu",140,1.13E+18,10/5/2019 08:29,Twitter Web Client,0,0,1
@Bishopellchapo Hello Bishop. We sincerely apologise for the unpleasant experience. Kindly provide us with the foll… https://t.co/Nh3zo2YDQi,140,1.13E+18,10/5/2019 08:24,Twitter Web Client,0,0,1
"@harmonyagere @buttlernhepure @IsheMwendamberi @kuntowaz @matigary Hello @HarmonyCharie, we sincerely apologise for… https://t.co/IvlWKGd0P3",140,1.13E+18,10/5/2019 08:23,Twitter Web Client,0,0,1
"@KJeremyJames Hi @KJeremyJames, register for free the service is zero rated which means you can browse the website… https://t.co/3V9xY4v7N0",139,1.13E+18,10/5/2019 08:22,Twitter Web Client,0,0,1
"@pharienyasha Hi @pharienyasha, may you please confirm if you are facing the same challenge when using a different handset. ^DTM",128,1.13E+18,10/5/2019 08:17,Twitter Web Client,0,0,0
@ArtishiaM1 👍,13,1.13E+18,10/5/2019 08:14,Twitter Web Client,0,0,0
"@ngwanyalo Hello Thokozile, we kindly note that adjustments will be made to all SendHome top-up. Kindly share your… https://t.co/5NyvzO9Dq5",139,1.13E+18,10/5/2019 08:11,Twitter Web Client,0,0,1
"@MulamboNyarai Hello Myarai, we sincerely apologise for the unpleasant experience. Kindly provide us with your mobi… https://t.co/ucPagJKvps",140,1.13E+18,10/5/2019 08:08,Twitter Web Client,0,0,1
@ArtishiaM1 👍,13,1.13E+18,10/5/2019 07:47,Twitter Web Client,0,0,0
@georgezimani May you please confirm the date of purchase. ^DTM,63,1.13E+18,10/5/2019 07:46,Twitter Web Client,0,0,0
"@lucky_boyce Hi @lucky_boyce, drop your phone number in our DM so that we can investigate and assist. ^AS",105,1.13E+18,10/5/2019 07:40,Twitter Web Client,0,0,0
"@nyatiimhenyu47 Hi @nyatiimhenyu47, DM your phone number, iflix app support ID, the date of bundle purchase and the… https://t.co/GhA6hmATkm",140,1.13E+18,10/5/2019 07:33,Twitter Web Client,0,0,0
@iamTinashePhiri Hi Tinashe. Private WIFI bundles are bundles are are usable in modems and on your mobile number as… https://t.co/IGHjW3B3lM,140,1.13E+18,10/5/2019 07:28,Twitter Web Client,0,0,0
"@kudziealbert Hi there! May you please DM us your mobile numbers, the date on which you purchased the bundles, and… https://t.co/pmIGbb4aUb",139,1.13E+18,10/5/2019 06:51,Twitter Web Client,0,0,0
"@georgezimani Hi @georgezimani, may you please check your DM for our response. ^DTM",83,1.13E+18,10/5/2019 06:50,Twitter Web Client,0,0,0
"@CarienTendengu1 Anytime Carien, stay inspired. ^VM",51,1.13E+18,10/5/2019 06:44,Twitter Web Client,0,0,0
"@lamb4you Hi @lamb4you, take note that data is charged per usage and not as per the period connected. If you have a… https://t.co/74s09oxoJB",140,1.13E+18,10/5/2019 06:43,Twitter Web Client,0,0,0
"@LeviChangadzo Hey Buddie, we thank you for the details. May you please also highlight the method you used to make… https://t.co/5bl0eKD6X0",139,1.13E+18,10/5/2019 06:43,Twitter Web Client,0,0,0
"@elgarad8 Hi @elgarad8, check your inbox for the response. ^AS",62,1.13E+18,10/5/2019 06:37,Twitter Web Client,0,0,0
@emmah_emmahmac 👍,17,1.13E+18,10/5/2019 06:34,Twitter Web Client,0,0,0
"@LeviChangadzo Hello @LeviChangadzo, please check your DM for our response. ^DTM",80,1.13E+18,10/5/2019 06:31,Twitter Web Client,0,0,0
"@Fungai_05 Hey Buddie, kindly check your DM for our response. ^VM",65,1.13E+18,10/5/2019 06:28,Twitter Web Client,0,0,1
@tino_maweni May you please check your DM for our response. ^DTM,64,1.13E+18,10/5/2019 06:20,Twitter Web Client,0,0,0
"@ChirambiwaLast Hey @ChirambiwaLast, the Ecocash balance enquiry charge is RTGS$0.10. For any other Ecocash related… https://t.co/0HL2liz8H3",140,1.13E+18,10/5/2019 05:50,Twitter Web Client,0,0,-1
"@tinahapanga Hi @tinahapanga, DM your query so that we can look into it and assist. ^AS",87,1.13E+18,10/5/2019 05:37,Twitter Web Client,0,0,0
"@elgarad8 Hello Dust, may we know the challenge you are facing so that we may assist you. ^DTM",94,1.13E+18,10/5/2019 05:36,Twitter Web Client,0,0,0
"@Ashiemugaz85 Hey @Ashiemugaz85, please DM us your mobile number so that we check and assist. ^DKM",98,1.13E+18,9/5/2019 20:54,Twitter Web Client,0,0,0
"@elgarad8 Hey @elgarad8, please check your DM for our response.^DKM",67,1.13E+18,9/5/2019 20:50,Twitter Web Client,0,0,0
"@KutyauripoJotam Hey @GoppazZim, please note that we have a live chat platform that you can engage us on for real-time assistance.^DKM",134,1.13E+18,9/5/2019 20:39,Twitter Web Client,0,0,1
"@GoppazZim Hey @GoppazZim, please try now to DM us. ^DKM",56,1.13E+18,9/5/2019 20:32,Twitter Web Client,0,0,0
"@SoulDeepZim Hey @SoulDeepZim, please DM us your mobile number and the date when this happened.^DKM",99,1.13E+18,9/5/2019 20:30,Twitter Web Client,1,0,0
"@SuperstarrNixx Hey @SuperstarrNixx, please DM us your mobile number so that we can get these messages. Alternative… https://t.co/pa1B5SdqCt",140,1.13E+18,9/5/2019 20:28,Twitter Web Client,0,0,0
"@emmah_emmahmac Hey Emmah, please ensure that your line is active and recharged. This will enable you to transact on Ecocash.^DKM",129,1.13E+18,9/5/2019 20:23,Twitter Web Client,0,0,-1
"@tino_maweni Hey there, we are sorry for the challenges you're facing. Kindly DM us your mobile number so that we can check and assist. ^DKM",140,1.13E+18,9/5/2019 20:15,Twitter Web Client,0,0,1
"@ArtishiaM1 Hey  @ArtishiaM1, if you are not able to do as requested, we advise you to visit the nearest Econet sho… https://t.co/RzGiMbQBWG",140,1.13E+18,9/5/2019 20:12,Twitter Web Client,0,0,-1
"@MakuwaMan Hey @MakuwaMan, thank you for the feedback. If you encounter any challenge, please don't hesitate to eng… https://t.co/aJXGPyatrT",140,1.13E+18,9/5/2019 19:58,Twitter Web Client,0,0,0
"@nyatiimhenyu47 Hey  @nyatiimhenyu47, we are sorry for the experience. Please DM us your mobile number so that we can check and assist.^DKM",139,1.13E+18,9/5/2019 19:46,Twitter Web Client,0,0,-1
@bhoqo_ Hey there. Please DM us your mobile number so that we can check and assist.^DKM,87,1.13E+18,9/5/2019 19:35,Twitter Web Client,0,0,0
"@tshakadee Hey  @tshakadee, please send us more details to the query that you logged on selfcare as it seems the in… https://t.co/CP3T7taUmx",140,1.13E+18,9/5/2019 19:33,Twitter Web Client,0,0,1
"@Sir_Zachi Hey  @Sir_Zachi, what do you imply here?^DKM",55,1.13E+18,9/5/2019 19:27,Twitter Web Client,0,0,0
"@elgarad8 Hey @elgarad8, please clarify on the nature of your query for further assistance.^DKM",95,1.13E+18,9/5/2019 19:23,Twitter Web Client,0,0,0
"@elgarad8 Hey Dust, we are sorry that you feel this way. Please care to share with us the challenges you are experi… https://t.co/FWtF3Kzbws",140,1.13E+18,9/5/2019 19:13,Twitter Web Client,0,0,-1
@nmudzingwaJXN 👍,16,1.13E+18,9/5/2019 19:12,Twitter Web Client,0,0,0
"@KutyauripoJotam Hey  @KutyauripoJotam, apologies here. Please DM us your mobile number and the date when this happened. ^DKM",125,1.13E+18,9/5/2019 19:11,Twitter Web Client,0,0,0
"@nashrutsate Hey  @nashrutsate, for change ownership to take place you need to visit the nearest Econet shop in cus… https://t.co/hJYs26o4QL",140,1.13E+18,9/5/2019 19:04,Twitter Web Client,0,0,0
"@bms208 Hey @bms208, any fraudulent activities are reported to the police and we are always available to comply in… https://t.co/IWWdM10cVO",139,1.13E+18,9/5/2019 19:01,Twitter Web Client,0,0,1
"@MangondoTinashe Hey @MangondoTinashe, apologies here. Please DM us your mobile number and the date when this happe… https://t.co/oC0ctQF4lb",140,1.13E+18,9/5/2019 18:49,Twitter Web Client,0,0,0
"@maikumbirai24 Hey @maikumbirai24, please note that All SENDHOME top-ups will be adjusted according to the interban… https://t.co/qhF2hquH69",140,1.13E+18,9/5/2019 18:48,Twitter Web Client,1,0,1
"@melching91 Hey Melody, please check your DM for our response.^DKM",66,1.13E+18,9/5/2019 18:36,Twitter Web Client,1,0,0
"@TinasheSeremani Hey @TinasheSeremani, we are sorry for the time it has taken to get your issue resolved. Please no… https://t.co/yly472JRxm",140,1.13E+18,9/5/2019 17:54,Twitter Web Client,0,0,-1
"@KallonKT Hey  @KallonKT, please DM us your mobile number so that we can check and assist. In the meantime, while w… https://t.co/ngIdnsxjKr",140,1.13E+18,9/5/2019 17:44,Twitter Web Client,0,0,0
"@silasmparadza Hey  @silasmparadza, thank you for the confirmation. Please note that we have once again engaged the… https://t.co/pWhKYKzXIZ",140,1.13E+18,9/5/2019 17:39,Twitter Web Client,0,0,0
"@notley1093 Hey  @chirume_oliver, please DM us your mobile number so that we can look into the issue. ^DKM",106,1.13E+18,9/5/2019 17:27,Twitter Web Client,0,0,0
"@chirume_oliver Hey @chirume_oliver, kindly advise the nature of the challenges encountered with the daily bundles.^DKM",119,1.13E+18,9/5/2019 17:22,Twitter Web Client,0,0,1
"@silasmparadza Hey  @silasmparadza, please enlighten us on the nature of the challenges encountered.^DKM",104,1.13E+18,9/5/2019 17:20,Twitter Web Client,0,0,0
"@Farie_wangu Hey @Farie_wangu, please check your DM for our response. ^DKM",74,1.13E+18,9/5/2019 17:16,Twitter Web Client,0,0,0
"@chewmela Hey Simbarashe, thank you for taking our call. For Ecocash related queries we are now able to assist you… https://t.co/fgpUOJjQF6",139,1.13E+18,9/5/2019 17:14,Twitter Web Client,0,0,1
"@allofkeisha Hey @allofkeisha, please check your DM for our response. ^DKM",74,1.13E+18,9/5/2019 16:56,Twitter Web Client,0,0,0
"@lamb4you Hey  @lamb4you, check out My Web Self-Care service: https://t.co/vNPJddkqfx which allows you to view your… https://t.co/PSj0JzK1Vz",140,1.13E+18,9/5/2019 16:55,Twitter Web Client,0,0,0
"@TMabota Hey @TMabota, we are sorry you feel this way. Please share with us if you have any other challenges so tha… https://t.co/fcLrtxKYFN",140,1.13E+18,9/5/2019 16:46,Twitter Web Client,0,0,-1
"@emmah_emmahmac Hey @emmah_emmahmac, please advise us are you able to make calls while on roaming. As we checked it… https://t.co/9dbhoW6mx4",140,1.13E+18,9/5/2019 16:42,Twitter Web Client,0,0,1
"@TMabota Hey @TMabota, please note that all reversals for failed ZESA token purchases are reversed together with th… https://t.co/a9EHRsqxrd",140,1.13E+18,9/5/2019 16:39,Twitter Web Client,0,0,-1
"@Nem_Leceh Hey Buddie, thank you for the details. The amount has been reversed. For a follow up please take note of… https://t.co/uZg2JD83YR",140,1.13E+18,9/5/2019 16:36,Twitter Web Client,0,0,0
"@luckienzungu Hey  @luckienzungu, apologies here. Please DM us your mobile number, bank details and amount of the t… https://t.co/TJnFRpIOpv",140,1.13E+18,9/5/2019 16:30,Twitter Web Client,0,0,0
"@Africabnsexcell Hey  @Africabnsexcell, apologies here. Please DM us her mobile number and the handset type she is… https://t.co/TClBPcToqc",139,1.13E+18,9/5/2019 16:28,Twitter Web Client,0,0,0
"@nigelloh__ Hey @nigelloh__, apologies here. Please DM us your mobile number, handset type and connected network mo… https://t.co/zGxZepndgX",140,1.13E+18,9/5/2019 16:27,Twitter Web Client,0,0,0
"@ISOIYASA Hey @ISOIYASA, please check your DM for our response. ^DKM",68,1.13E+18,9/5/2019 16:26,Twitter Web Client,0,0,0
"@nmudzingwaJXN Hi there, to transfer airtime please dial *111# &amp; select airtime transfer option 4, enter receiver’s… https://t.co/QFXsjpRAWQ",144,1.13E+18,9/5/2019 16:24,Twitter Web Client,0,0,0
"@Geochags1 Hey @Geochags1, please note that those messages are meant to give you an update of your points.  Please… https://t.co/FPcj7F1NP1",139,1.13E+18,9/5/2019 16:20,Twitter Web Client,0,0,0
"@Ngonie59 Hey  @Ngonie59, we are sorry that you feel this way. Please DM us your mobile number and the nature of yo… https://t.co/CTJpruxOXE",140,1.13E+18,9/5/2019 16:17,Twitter Web Client,0,0,-1
"@clay_therealist Hey  @clay_therealist, please check your DM for our response. ^DKM",83,1.13E+18,9/5/2019 16:14,Twitter Web Client,0,0,0
"@LizMash28 Hey  @LizMash28, please DM us your mobile number, banking details and amount of this transactions so tha… https://t.co/fUkvT4KacD",140,1.13E+18,9/5/2019 16:13,Twitter Web Client,0,0,0
"@ArtishiaM1 Hey   @ArtishiaM1, please check your DM for our response.^DKM",73,1.13E+18,9/5/2019 15:18,Twitter Web Client,0,0,0
"@anold_magadzire Thank you for the confirmation Anold, as advised please note that the recipient is not available t… https://t.co/jjQ9XZdDOR",140,1.13E+18,9/5/2019 15:12,Twitter Web Client,0,0,-1
"@ghakunavanhu Hey Buddie, thank you for the ticket. Please note that we have once again engaged our back office for… https://t.co/kBV96Gw1Zc",140,1.13E+18,9/5/2019 14:50,Twitter Web Client,0,0,0
"@Geochags1 Hello Geochags, we sincerely apologise for the unpleasant experience. Kindly DM us your mobile number, t… https://t.co/6vdrAmQuYK",140,1.13E+18,9/5/2019 14:39,Twitter Web Client,0,0,1
"@Nem_Leceh Hey @Nem_Leceh, how can we assist today? If Possible please DM us your mobile number and the nature of your query.^DKM",129,1.13E+18,9/5/2019 14:31,Twitter Web Client,0,0,0
@allofkeisha Please check your DM for our response. ^VM,55,1.13E+18,9/5/2019 14:22,Twitter Web Client,0,0,0
"@AllenBoboh Makadini Allen? Tinehurombo nedambudziko ramuri kusangana naro, tinokumbirawo kuti mutitumidzire nhamba… https://t.co/IrlJKpaaMo",140,1.13E+18,9/5/2019 14:16,Twitter Web Client,0,0,0
"@PhilChard Hey Buddie, kindly note that you are charged for balance enquiry on Ecocash. ^VM",91,1.13E+18,9/5/2019 14:10,Twitter Web Client,0,0,1
"@PhilChard Hey Buddie, we sincerely apologise for the unpleasant experience. Kindly try purchasing using the *143#… https://t.co/j3T1qkM7Sf",139,1.13E+18,9/5/2019 14:07,Twitter Web Client,0,0,1
"@silasmparadza Hey @silasmparadza, have you submitted the requested documents to ecocashhelp@econet.co.zw. For any… https://t.co/I5KrOGWdY7",139,1.13E+18,9/5/2019 14:07,Twitter Web Client,0,0,0
"@Farie_wangu Hey Buddie, we do actually work on these issue. Kindly share your experience so that we can look into… https://t.co/YEsMe5T1yY",139,1.13E+18,9/5/2019 14:05,Twitter Web Client,0,0,1
"@godgiven_givie Makadii Godgiven, makapihwa here tsamba kushop uku inokwanisa kuti muiitirwe reversal? Vanokupai ts… https://t.co/W53ZDEmlwH",140,1.13E+18,9/5/2019 14:03,Twitter Web Client,0,0,0
"@zola_wemafresh Hey Tichaona, kindly note that you made an international call. You can view the updated tariffs by… https://t.co/17uODWky0e",139,1.13E+18,9/5/2019 13:55,Twitter Web Client,0,0,1
"@munhu57648983 Hello Munhu, kindly DM us your mobile number so that we can take you through our pin reset process. ^VM",118,1.13E+18,9/5/2019 13:44,Twitter Web Client,0,0,1
"@DrumNgoma Hello Drum, kindly check your DM for our response. ^VM",65,1.13E+18,9/5/2019 13:43,Twitter Web Client,0,0,1
"@KJeremyJames Hello Jojola, kindly note that you can track your on usage by registering on My Web Selfcare. Please… https://t.co/zMaa3Iphlc",139,1.13E+18,9/5/2019 13:26,Twitter Web Client,0,0,1
"@Nem_Leceh Hello there, kindly DM us the amount you sent in error, the date of the transaction and the name of the recipient. ^VM",129,1.13E+18,9/5/2019 13:19,Twitter Web Client,0,0,1
"@Andrewgarira11 Hey Buddie, we have noted that there was a Bank to Wallet roll bank on your account. Kindly check y… https://t.co/IVNKrPLjVA",140,1.13E+18,9/5/2019 13:14,Twitter Web Client,0,0,1
"@nickietmaps Good day Nickie, kindly check your DM for our response. ^VM",72,1.13E+18,9/5/2019 13:10,Twitter Web Client,0,0,1
"@clay_therealist Hello Clay, kindly check your DM for our response. ^VM",71,1.13E+18,9/5/2019 13:07,Twitter Web Client,1,0,1
"@chakwizira_g Hey Buddie, we sincerely apologise for the unpleasant experience. Kindly let us know if you would lik… https://t.co/SSLTqBKFTf",140,1.13E+18,9/5/2019 13:03,Twitter Web Client,0,0,1
"@MafaroDexter Hey Buddie, kindly ensure that you have an existing data bundle which enables you to browse. If you d… https://t.co/l01WfB0W2F",140,1.13E+18,9/5/2019 13:00,Twitter Web Client,0,0,1
"@realralph_g Hello Marcus, To stop promotional messages send a message written STOP to 30440. ^VM",97,1.13E+18,9/5/2019 12:58,Twitter Web Client,0,0,0
"@dirkxonn Hello David, we sincerely apologise for the unpleasant experience. We encourage you to communicate any ma… https://t.co/hLH6eiXXvm",140,1.13E+18,9/5/2019 12:55,Twitter Web Client,0,0,-1
"@AnndileRyan Hello Andile, please note that you can track your usage on My Web Selfcare for free. Visit My Web Self… https://t.co/054s4uaaS0",140,1.13E+18,9/5/2019 12:40,Twitter Web Client,0,0,1
"@MelMutukura Hie Mel, sorry for the late response. kindly DM your number, the recipient's number, the date and amou… https://t.co/D9Xjz9gn6o",140,1.13E+18,9/5/2019 12:33,Twitter Web Client,0,0,-1
"@LeviChangadzo Hie Levi, sorry for your experience. Kindly DM your number, the platform that you used and the date of the transaction. ^GFK",139,1.13E+18,9/5/2019 12:29,Twitter Web Client,0,0,1
"@emmah_emmahmac Hello Emmah, we sincerely apologise for the unpleasant experience. Kindly provide us with your mobi… https://t.co/nWIBxmQ9oG",140,1.13E+18,9/5/2019 12:29,Twitter Web Client,1,0,1
"@NiiodaiGachie Hey Buddie, we sincerely apologise for the unpleasant experience. Kindly note that our support team… https://t.co/6o1rnCHxGz",139,1.13E+18,9/5/2019 12:27,Twitter Web Client,0,0,1
"@bull_eland Hey Buddie, kindly DM us your experience so that we can look into the matter and have it rectified. ^VM",115,1.13E+18,9/5/2019 12:25,Twitter Web Client,0,0,1
"@emilypaonga Hie Emily, kindly DM your number and let us know the destination that you are visiting. ^GFK",105,1.13E+18,9/5/2019 12:18,Twitter Web Client,1,0,1
"@IgnorantMtenhe1 Hie Ignorant. Kindly DM your number, the recipient's number, the date and amount of the transactio… https://t.co/bkahA1QFcq",140,1.13E+18,9/5/2019 12:16,Twitter Web Client,0,0,1
@anold_magadzire Please provide us with the date of the transaction for verification. ^VM,89,1.13E+18,9/5/2019 12:12,Twitter Web Client,0,0,0
@allofkeisha Kindly DM us the mobile number and the bundle that she purchased in error so that we can convert it to airtime. ^VM,128,1.13E+18,9/5/2019 12:10,Twitter Web Client,0,0,1
@nompilo_simanje Hey Nompilo. kindly check your DM for the response. ^GFK,73,1.13E+18,9/5/2019 11:45,Twitter Web Client,1,0,1
