,Tweets
1862,"@EMuvuro Hi Buddie, how may we assist? ^LTN"
1863,"@Ndrew_z Hi Buddie, apologies for the challenges faced. Kindly DM your mobile number and location for assistance. ^LTN"
1864,"@melching91 Hi Buddie, apologies for the challenges faced. Kindly DM your mobile number and current location for assistance. ^LTN"
1865,"@DzumbuAP Hi @DzumbuAP, DM your phone number, bank account number, bank name, amount and date when transaction was… https://t.co/ti7YYB8RK1"
1866,"@zuluxmasuku Hi Buddie, kindly resend your message to our DM as we are failing to track it. ^LTN"
1867,"@hope_nobs Hi Buddie, kindly provide more information regarding your issue for assistance. ^LTN"
1868,"@shingieku Hi Buddie, kindly Dm your mobile number, amount transacted and transaction type performed and we will fo… https://t.co/bHZzXUiClY"
1869,"@teekayflamez Hi @teekayflamez, noted we have responded to your DM. ^AS"
1870,"@gpowersav Hi Buddie, kindly DM your mobile number for assistance. ^LTN"
1871,"@King_Swaee Hi Buddie, thank you for the feedback. We will be more than happy to share it with our team. ^LTN"
1872,"@justtinotenda Hi Buddie, kindly provide more information regarding your issue for assistance. ^LTN"
1873,"@EMuvuro @shinq015 Hi @EMuvuro, drop your phone number in our DM so that we can assist. ^AS"
1874,"@Gesture9 @econetzimbabwe Hi @Gesture9, the provided reference number is not valid and the provided number is not t… https://t.co/neJPzPTLCQ"
1875,"@LloydMukanwa Hi Buddie, kindly check your DM for our response. ^LTN"
1876,"@MikeSibandaN Noted Buddie, our support team is looking into it. Our apologies for the challenges faced. ^LTN"
1877,"@MgciniO Hi Buddie, kindly DM your mobile number and location for assistance. ^LTN"
1878,"@chrismasona1 Hi Buddie, kindly check your DM for our response. ^LTN"
1879,"@simbarashemuny5 Hi Buddie, kindly confirm if you were buying the airtime for the same number. ^LTN"
1880,"@masango_picture Hi Buddie, kindly DM your mobile number for assistance. ^LTN"
1881,"@zvobgoluckson1 Hi Buddie, kindly note Ecoash bundles allows you to enjoy free transacting on EcoCash. Dial *151*4#… https://t.co/pAUlEFwpYe"
1882,"@samukheliso28 Hi @samukheliso28, the twitter bundle shows images. However, we understand that some of our subscrib… https://t.co/Jt5oeHq5nU"
1883,"@LuckieTaflo Hi @LuckieTaflo, noted we have responded to your DM. kindly provide the requested information for further assistance. ^AS"
1884,"@Thesheriffngoni Hi Buddie, may you kindly DM your mobile number, bank account number, bank name, amount transacted… https://t.co/oVOnqDfhin"
1885,"@kinglikesolomon Hi Buddie, how may we assist you? ^LTN"
1886,"@AlphaJubane Hi Buddie, kindly DM your mobile number and handset model for assistance. ^LTN"
1887,"@LutherRalph Hi Buddie, kindly DM your mobile number, date of birth and national i.d number for assistance. ^LTN"
1888,"@lasarmangoyah Hi @lasarmangoyah, we have escalated your request for processing with reference ID CSD_20190502_0009… https://t.co/2giIh3z6hp"
1889,"@mrChiwaka Hi Buddie, kindly note your issue is still work in progress. You will be notified via sms once your issue has been resolved. ^LTN"
1890,"@seeps001 Hi Buddie, kindly share more information regarding the challenges you are facing with any of our services for assistance. ^LTN"
1891,"@zenzele Hi Buddie, apologies for the experience. Kindly share your mobile number and location for assistance. ^LTN"
1892,"@kudziemudondo Hi Buddie, kindly provide more information regarding the challenges you are facing with any of our s… https://t.co/J4Edz8yJMR"
1893,"@_chipochashe Hi @_chipochashe, kindly note that you only sent a phone number to our DM. please cross check if you… https://t.co/J6ab6Gh7UT"
1894,"@BunJumbo Hi @BunJumbo, sorry you feel that way. Kindly provide your phone number, meter number, amount and the tra… https://t.co/EYIcGG1Lcu"
1895,"@Carol_zviko Hi @Carol_zviko, noted we have responded to your DM. ^AS"
1896,"@ChihururuD Hi Buddie, how may we assist? ^LTN"
1897,"@the_tichie Hi @the_tichie, noted we have responded to your DM. ^AS"
1898,"@Rebirth63746887 Hi Buddie, kindly DM your mobile number and location for assistance. ^LTN"
1899,"@TakesureManjan2 Hi Buddie, kindly DM your mobile number and location for assistance. ^LTN"
1900,"@KatsaTanatswa Hi Buddie, kindly DM your mobile number and location for assistance. ^LTN"
1901,"@Usangakevi Hi @Usangakevi, thank you for getting in touch. Kindly visit our website (https://t.co/keab1bo1WO) for… https://t.co/xDPSlD1Ui4"
1902,"@djfunky_d @CharlesMushinga Hi @djfunky_d, thank you for the feedback. Kindly note that we have escalated it to the relevant team. ^AS"
1903,"@Martinmutize28 Hi Buddie, apologies for the experience. Kindly DM your mobile number and location for assistance. ^LTN"
1904,"@Vusi4sho Hi @Vusi4sho, DM your phone number so that we can assist. ^AS"
1905,"@tmpala71 Hi Buddie, apologies for the experience. Kindly DM your mobile number and current location for assistance. ^LTN"
1906,"@RNdaiziveyi Hi @RNdaiziveyi, thank you for the feedback and continued support. ^AS"
1907,"@cleopatrafadzai We are working on it, Cleopatra. ^TFM"
1908,"@_chipochashe @econetzimbabwe @EcoCashZW Hie Mhofu, we would like to assist. May we know the challenge that you have. ^TFM"
1909,@BrianKasu Thank you for getting in touch Brian. Please note that we are working on the challenge. ^TFM
1910,"@GaryAcee Hello Gary, may we have your mobile number? ^TFM"
1911,@tapiwamuungani Thank you for the feedback Tapiwa. ^TFM
1912,"@chihlangud The purchase failed, we are working on reversing your funds. You will receive a rollback notification once done. ^TM"
1913,"@naledi_dilena Thank you for the feedback @naledi_dilena, we will share with our team here. ^TFM"
1914,@Ruegraced Please confirm all is well now. ^TFM
1915,"@takumandura Hie Takunda, have you tried sending STOP to 30440? ^TFM"
1916,"@donshava Noted, there is a challenge. We are working on it ^TFM"
1917,"@Blegororo Hongu, hachisi chokwaadi. ^TFM"
1918,"@Nancysibanda4 Hie Nancy, sorry about that, we are working on the challenge. ^TFM"
1919,"@KawerLeroy Hie Leroy, we are working on the challenge. ^TFM"
1920,"@JstThandie Sorry about that @JstThandie, our lines get congested. Please let us know how we can assist. ^TFM"
1921,"@LuckieTaflo Hie Thanos, how may we assist you?"
1922,"@GapareLameck Hie Lameck, we are working on the challenge."
1923,"@DrMartinStrange Our apologies, we are working on it. ^TFM"
1924,"@Eve12834699 Hie Eve, our apologies. We are looking into the issue. ^TFM"
1925,"@kim_mancube Hie Kim, may you please direct message your mobile number so that we can assist. ^TFM"
1926,"@teflontsaga Sorry about that, we are looking into the issue. ^TFM"
1927,"@LeonardTMN Hie Leonard, may we have your mobile number. ^TFM"
1928,"@PabloEscobar_ZW Hie Pablo, have you tried to send STOP to 30440? ^TFM"
1929,"@nashematshona Hie @EcoCashZW, please assist."
1930,"@gandstindo Hie @gandstindo, please note that the funds will be reversed back into your EcoCash account. ^TFM"
1931,@10dai_wekwa_Jim Sorry to hear you still have this challenge. We are making a follow up on the issue. ^TFM
1932,"@CharlesMasayire Hie Money Monger, may we have your mobile number and date when you experienced the challenge so that we can assist. ^TFM"
1933,@vincekhubone The line is not yet registered. May you please visit any Econet shop with your ID for assistance. ^TFM
1934,"@rsundire @EcoCashZW Hie Mai Dread, are you still having this challenge? ^TFM"
1935,"@clatiezw Hie @clatiezw, please disregard the story. ^TFM"
1936,"@SPesanai Hie Simbarashe, we apologise for your experience. May we know if you are still facing this challenge. ^TFM"
1937,"@ShingiShadreck Hie Shingie, Pinterest is a social network that allows users to visually share, and discover new interests. ^TFM"
1938,"@SPazvose Hie Shumba, sorry for the delay. We are working on resolving the challenge. ^TFM"
1939,"@Ruegraced Hie Ruvimbo, may you please provide your mobile number so that we can assist. ^TFM"
1940,"@Tagah66 Hie Donald, may you kindly direct message your mobile number and details of the transactions so that we can assist you. ^TFM"
1941,"@tiasigauke Hie @tiasigauke, we have reset your connection. May you please restart your phone and test. ^TFM"
1942,@TinderDropOut Noted Prince.
1943,@ZvenyikaChindo3 We are working on the challenge @ZvenyikaChindo3. ^TFM
1944,@Shallom71305375 May we know which shop you are at as well as the error message you are getting. ^TFM
1945,"@Ms_Tsuwie Hie @Ms_Tsuwie, may we have the number you are trying send money to. ^TFM"
1946,"@MarkMotmarks Hie Mark, are you buying directly from EcoCash or through *143#? ^TFM"
1947,"@noelmadonho Sorry about the delay Gini, we are working on resolving the challenge. ^TFM"
1948,"@EcoCashZW Hie @shinq015, we apologise for your experience. Please note that we are working on the challenge. ^TFM"
1949,"@albertndagu Sorry about that Barlet, may we have your mobile number so that we can check and assist. ^TFM"
1950,"@craigjeri Hie Craig, the funds are deposited into your EcoCash foreign currency account so you cash out or transact in USD. ^TFM"
1951,"@Blegororo Hie Scott, thank you for getting in touch. Please disregard the story. ^TFM"
1952,"@ChihururuD Hello Desire, we are attending to your message. ^TFM"
1953,"@donshava Hie Donald, yes our Twitter bundles shows media. ^TFM"
1954,"@cleopatrafadzai Hie Cleopatra, may you please direct message your mobile number and the details of the transaction… https://t.co/22bzesqthv"
1955,"@NgarakanaEmmah Hie Emmah, thank you for getting in touch. May you please direct message us your mobile number and… https://t.co/DlTEJySKpe"
1956,@ghots101 Please direct message your mobile number and location so that we can assist. ^TFM
1957,@brinec The transaction for the 28th was reversed. We are working on reversing the second one. ^TFM
1958,"@DrMartinStrange Hie  @DrMartinStrange, may we have your mobile number and error message so that we can assist. ^TFM"
1959,"@djfunky_d Hie David, may we have the details of the issue so that we can assist. ^TFM"
1960,@permakool We are attending to your query @permakool. ^TFM
1961,"@MucBrian Hie @MucBrian, we are working on the challenge. ^TFM"
1962,"@teflontsaga Hie Alexander, you can buy the bundles using *143#. On the payment option, you can select airtime or EcoCash. ^TFM"
1963,"@awholelottery Hie Ruva, sorry about that. We are looking into the issue. ^TFM"
1964,@Juliettafirei May you please restart your phone and test. Please advise if the challenge persists. ^TFM
1965,"@Ruegraced Hie Ruvimbo, the lines get congested at times. We are happy to assist you here. ^TFM"
1966,"@vincekhubone Hie Vince, may you please provide the mobile number so that we can assist. ^TFM"
1967,@shinq015 Sorry about that. We are working on the challenge. ^TFM
1968,"@ZuluTheZulu Hie KwaZulu, we apologise for the delay. Please note that we have responded. ^TFM"
1969,"@santatate Hie @santatate, kindly note that we are looking into the issue. ^TFM"
1970,"@NiiodaiGachie Hie @NiiodaiGachie, we are looking into the issue. ^TFM"
1971,"@tkmaoh Noted, we are looking into the challenge. ^TFM"
1972,@jethro_makumbe @econetzimbabwe @iflixZW @Otis_Mak @melmudiwa @tnavdeep @fayaz_king @MMasiyazi @FungaiMandiveyi… https://t.co/1swth39lTx
1973,@LindyMpo May we know which platform you used to buy the bundles. ^TFM
1974,@Nkosiph75564202 May you please check your messages. ^TFM
1975,"@chihlangud Hie Do_it, we are sorry for the delay. Kindly note that we will advise once the token is available. ^TFM"
1976,"@Nkosiph75564202 Hie @Nkosiph75564202, may you please check your messages for our response. ^TFM"
1977,"@Narb541 Hie @Narb541, we apologise for your experience. May you please direct message your mobile number and the f… https://t.co/xEHBBpaOo8"
1978,"@sir_williefixit Hie Sir Williefixit, The EcoCash bundle is a package deal that allows a customer to transact at a… https://t.co/IgBpNh77SK"
1979,"@ShepherdNdou Hie Shepherd, may we have your account number. ^TFM"
1980,"@RoeNomaMasayile Hie Roe, we apologise for your experience. May you please direct message your mobile number so that we can assist you. ^TFM"
1981,"@nkalaronaldo Hie Ronnie, our apologies, we are looking into the challenge. ^TFM"
1982,"@aakisto Hie Charles, we responded to your earlier tweet. ^TFM"
1983,"@Miss_RaeRV Hie @Miss_RaeRV, we are looking into the issue. ^TFM"
1984,"@aakisto Hie @aakisto, we apologise for your experience. May you please direct message your mobile number and the d… https://t.co/xnxaAYIEVS"
1985,"@Juliettafirei Hie Minie, we are sorry about that. May we have your mobile number. ^TFM"
1986,@bravehearttawy Noted Tawanda.
1987,"@DrTBang Noted, we are looking into the issue. ^TFM"
1988,"@evans_chikukwa Hello Evans, thank you for getting in touch. We are glad all is well now.  🙂^TFM"
1989,"@brinec HIe Brine, may you please direct message your mobile number and the full details of the transactions so that we can assist. ^TFM"
1990,"@awholelottery Hie Ruva, may we have your mobile number so that we can check and assist. ^TFM"
1991,"@fmthunzi_1738 Please try, if you face any challenge, kindly provide your mobile number for further assistance. ^TFM"
1992,"@sofiasaungweme Hie @sofiasaungweme, we are sorry about that. We are working on it. ^TFM"
1993,@lameckkarz We are on it Lameck.
1994,"@MiaAnotidaishe Hie MiaAno, may we have your mobile number so that we can assist. ^TFM"
1995,@tkmaoh Please try updating your application and advise. ^TFM
1996,"@shinq015 Hie @shinq015, we apologise for your experience. Please try updating your Twitter application and advise. ^TFM"
1997,"@joe_muvhundusi Hie Joe, please use *143# to purchase your bouquets. On the payment method, please select EcoCash.… https://t.co/IwH1Q3kk9g"
1998,"@tkmaoh Hie Taku, the Twitter bouquet shows media. ^TFM"
1999,"@DrTBang Thank you, may you please try updating your Twitter application and advise. ^TFM"
2000,"@Ndrew_z Hie @Ndrew_z, may you please send your mobile number so that we can assist. ^TFM"
2001,"@AndrewBakuza Hie @AndrewBakuza, the bundles show media. Have you tried to update your Twitter app? ^TFM"
2002,"@Takue_gondo Hie @Takue_gondo, kindly note that we are working on the upgrade. We will advise once the application is back online. ^TFM"
2003,"@kooodzy @Tyreg263 Hie @kooodzy, may we have your mobile number. ^TFM"
2004,"@LindyMpo Hie Moreblessing, may you please direct message your mobile number so that we can assist. ^TFM"
2005,"@waltermut_ZW Hello Walter, we are converting the bundle for you. You will receive a message once done. ^TFM"
2006,"@OfficialBizNez Hie @OfficialBizNez, may you please direct message your mobile number so that we can assist. ^TFM"
2007,"@DrTBang Hie @DrTBang, sorry about that. May we have your mobile number and handset type. ^TFM"
2008,"@lucky_boyce Hie Lucky, the new bundle shows media. Have you tried to update your Twitter application? ^TFM"
2009,"@Ndle_Nkosi Hie @Ndle_Nkosi, thank you for contacting us. May you please direct message your mobile number and hand… https://t.co/VemKRN9YEL"
2010,"@ZvenyikaChindo3 We are sorry about your experience Zvenyika, we are attending to your challenge. ^TFM"
2011,"@Lasford4 Noted, we deactivating the notifications. ^TFM"
2012,@JAM_ENGINEERS We have refreshed your connection. May you please restart your phone and test. ^TFM
2013,"@BossTimmyZW Hie Timothy, kindly note that these are complimentary bundles. ^TFM"
2014,"@siwela_terence Hie Terrence, we are sorry for the oversight. May you please check your messages for our response. ^TFM"
2015,"@Chad_Oz Hie @Chad_Oz, we are retrieving your token. We will advise once it is available. ^TFM"
2016,"@GigoWitts Hie Escobar, may we have your mobile number and error message you are getting when you try to buy a bundle. ^TFM"
2017,@czambuko Thank you for the feedback Chamunoda.
2018,"@MarshallCumire Hie Marshall, we apologise for your experience. We are retrieving your token. We will advise once it is available. ^TFM"
2019,"@JAM_ENGINEERS Hie Jam Engineers, may we have your mobile number. ^TFM"
2020,@giftsmutumbi Hmmm 🤔.
2021,"@Tyreg263 Nhai  @Tyreg263, ko tabhowa taitasei futi?^DKM"
2022,"@tinachmk Hey @tinachmk, we are sorry for the challenges encountered. Kindly DM us your mobile number and the natur… https://t.co/ctUPuNeQ9E"
2023,"@AgentChitsinde Hey @AgentChitsinde, Kwese video bundles are meant for streaming on on Kwese TV app as well as Kwes… https://t.co/nyVR6rWndH"
2024,"@SBokosha Hey @SBokosha,  please check your DM for our response. ^DKM"
2025,"@lameckkarz Hey @lameckkarz, we are sorry for the challenges being experienced. Kindly DM us your mobile number so… https://t.co/DbXXRaiWXd"
2026,"@CollenSigudu Hey @CollenSigudu, thank you for reaching out to us. Please kindly DM us your number and the nature o… https://t.co/GhEcRvfhXO"
2027,"@ZvenyikaChindo3 Hey @ZvenyikaChindo3, we are sorry for the challenges encountered. Kindly DM your mobile number fo… https://t.co/BDBiuJ7XV7"
2028,"@Julery16 Hey @Julery16, please note that we have taken note of your details and escalated to our technical team for assistance.^DKM"
2029,"@A_263ZW Makadi @A_263ZW, tinehurombo nedambudziko iri. Tinokumbirawo number dzenyu ku DM kwedu tikwanise kutarisa dambudziko iri.^DKM"
2030,"@Tyreg263 Makadi  @Tyreg263, tinehurombo nedambudziko ramurikusangana naro. Tinokumbirawo mutipewo number dzenyu ku… https://t.co/S2zTZYubLP"
2031,"@MikeSibandaN Hey Mike, we are sorry for the challenges encountered. Please advise the platform that you were using… https://t.co/7AwMbpqOcQ"
2032,"@Ashiemugaz85 Hey Wayne, thank you for the details. We have taken note and escalated to our technical team for assistance.^DKM"
2033,"@GamuMaravaz Hey @GamuMaravaz, kindly advise the nature of the challenges you're experiencing.^DKM"
2034,"@BunJumbo Hey  @BunJumbo, kindly advise the nature of the challenges that you encountered. ^DKM"
2035,"@danielnhakaniso Hey @danielnhakaniso, apologies here. Please DM us your mobile number and the type of bundle purch… https://t.co/8MeAoPBWzN"
2036,"@JosiahTarai Hey Josiah, we are glad that we managed to assist. ^DKM"
2037,"@veevy07 Hey @veevy07, you can select the bundle that suits your need based on the nature of what you want to post.… https://t.co/FUDufBfxN5"
2038,"@the_tichie Hey @the_tichie, we are sorry for the challenge encountered. May you kindly DM us your mobile number an… https://t.co/50adyahMI5"
2039,"@CharlesMushinga Hi Charles, we have noted your feedback however, please note that currently, all our data packages… https://t.co/XpPwnsMbNU"
2040,"@kudzichidzikwe Hey @kudzichidzikwe, please check your DM for our response.^DKM"
2041,"@blackboymagic_ Hey Tino, kindly DM us your mobile number so that we can check and assist.^DKM"
2042,"@Saint_Cedriqo Hey @Saint_Cedriqo, our apologies here. Please DM your mobile number and the type of the bundle purchased for assistance.^DKM"
2043,"@theMarcusZW Hey Buddie, please note that our data bundles are usage-based products which means that the MBs alloca… https://t.co/jtdWiSyqfL"
2044,"@zimexapp Hey @zimexapp, kindly DM us your mobile number and the location where you are trying to connect WiFi zone from.^DKM"
2045,"@AustinSimbo Hey  @AustinSimbo, thank you for the feedback.^DKM"
2046,"@Vusi4sho Hey @Vusi4sho, apologies here. Please DM us your mobile number for assistance.^DKM"
2047,"@blackschmitt Ha @blackschmitt, like seriously 🤣"
2048,"@_Vickie_M Hey @_Vickie_M, the twitter bundle shows images. However, we understand that some of the subscribers are… https://t.co/7rrCIwnl1f"
2049,"@RNdaiziveyi Hey  @RNdaiziveyi, we are sorry for the challenges encountered. Kindly advise the method that you are… https://t.co/l1fWhhR7nI"
2050,"@willoe_tee Hey WaMambo, please check your DM for our response. ^DKM"
2051,"@tinaaudrey Hey  @tinaaudrey, apologies for the challenges. Kindly share with us ur mobile number so that we can look into the issue.^DKM"
2052,"@chihlangud Hey @chihlangud, please check your DM for our response.^DKM"
2053,"@MorrisChimutsa Hey Morris, to deactivate promotional message kindly send the message ""STOP"" to 30440. ^DKM"
2054,"@TumzMunz Hey @TumzMunz, how can we assist you?^DKM"
2055,"@Tino_I_Am Hey @Tino_I_Am, thank you for the feedback. ^DKM"
2056,@MafaroDexter 🤣
2057,"@chrismasona1 Hey @chrismasona1, apologies here. Kindly DM us your number so that we can look into the issue. ^DKM"
2058,"@Chimedzane Manheru akanaka @Chimedzane, tinokutendai ne feedback yamatipa. Tichaedza kuti tiongororewo dambudziko… https://t.co/1Sq89uwErQ"
2059,"@TinayeEdwellYAV @TinayeEdwellYAV, tinokumbirawo mutipewo number dzenyu tikubatsirei.^DKM"
2060,"@prosperzhou4 Hey Prosper, please check your DM for our response.^DKM"
2061,"@__masibanda__ Hey @__masibanda__, please check your DM for our response. ^DKM"
2062,"@prosperzhou4 Hey @prosperzhou4, please check your DM for our response.^DKM"
2063,"@7h3_c0d3 Hey Buddie, please check your DM for our response.^DKM"
2064,"@MunaiwaMutsa Hey Mutsa, kindly check your DM for our detailed response. ^DKM"
2065,"@TravisMerwe Hey Travis, we are sorry for the challenges that you are experiencing. Kindly DM us your mobile number… https://t.co/VQvzMfpAc9"
2066,"@Ndle_Nkosi Hey @Ndle_Nkosi, please check your DM for our response. ^DKM"
2067,"@KelvinMupara Hey @KelvinMupara, apologies here. Please share with us your mobile so that we can look into the issue.^DKM"
2068,"@7h3_c0d3 Hey @7h3_c0d3, please advise your mobile number so that we check for you. ^DKM"
2069,"@jewelmuy Hey Jewel, when registering please ensure that you select Zimbabwe and use your Econet number including the country code. ^DKM"
2070,"@Stanfordson89 Hey  @Stanfordson89, thank you for the feedback. Once they are any changes to our data plans you will be notified.^DKM"
2071,"@ghakunavanhu Hey Gabriel, please check your DM for our response.^DKM"
2072,"@TravisMerwe Hey Travis, kindly DM your mobile number so that we can look into the issue.^DKM"
2073,"@PatieGorengecho Hey @PatieGorengecho, kindly DM us the number that you purchased the bundle for. ^DKM"
2074,"@7h3_c0d3 Hey @7h3_c0d3, please check your DM for our response.^DKM"
2075,"@LloydMukanwa Hey Lloyd, please share with us your mobile number so that we can check your account and assist.^DKM"
2076,"@barca_bae02 Hey @barca_bae02, we are sorry that you feel this way. May you kindly DM us your mobile number so that… https://t.co/hGne1G3h0u"
2077,"@nyanduri74 Hey @nyanduri74, we are sorry for the encounter. Please DM us your mobile so that we can check on the issue encountered. ^DKM"
2078,"@fres_co_ Hey @fres_co_, may you kindly advise the nature of your query. If possible kindly DM your mobile number f… https://t.co/Z27otT6t8f"
2079,"@philchavars65 Hey  @philchavars65, apologies here. Kindly advise the method that you are using to recharge data bundles. ^DKM"
2080,"@swahili_girl Hey @swahili_girl, may you kindly DM your mobile number so that we check and assist. ^DKM"
2081,"@RuueLeRoux Hey Ruue, apologies here. Kindly DM your mobile number so that we can check. ^DKM"
2082,@IGetShwifty 2/2 Please ensure that you have a letter authorising reversal from the merchant attached. ^DKM
2083,@LukeKan2 @econetzimbabwe @Madzidady @iflixZW @Otis_Mak @melmudiwa @tnavdeep @fayaz_king @MMasiyazi… https://t.co/YzvB145tLe
2084,"@IGetShwifty 1/1Hey @IGetShwifty, we are sorry for the challenges encountered. Kindly share with us your mobile num… https://t.co/sE190gC1Hs"
2085,"@BrenaldChinyowa Hey Brenald, apologies here. Kindly note that for a failed swipe to Ecocash you need to get a lett… https://t.co/ZHAoRkEuvM"
2086,"@TendekaiMunemo Hey @TendekaiMunemo, apologies here. Kindly note that for a failed swipe to Ecocash you need to get… https://t.co/iF5dWXnZNb"
2087,"@ThembaMdawini Hi there, we are looking into this issue. ^EVM"
2088,@47ent @econetzimbabwe @iflixZW @Otis_Mak @melmudiwa @tnavdeep @fayaz_king @MMasiyazi @FungaiMandiveyi @KezitoM… https://t.co/pxaY4qdFsg
2089,"@jeydeeee Hey there, may we know the exact transaction that you had made for further assistance. ^EVM"
2090,"@noelmadonho Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, date and amount so w… https://t.co/Z4w8VDnLi3"
2091,"@caramelDEEsa Hi Buddie, kindly note that we had intermittent challenges on our system. Efforts are underway to hav… https://t.co/moEEzbJxoe"
2092,@Panashe468 @econetzimbabwe @iflixZW @Otis_Mak @melmudiwa @tnavdeep @fayaz_king @MMasiyazi @FungaiMandiveyi… https://t.co/4l5TuhYufX
2093,"@isiqoqodo Hi Buddie, we apologize for the experience. May you kindly try now and advise if the same challenge persists. ^EC"
2094,"@Priviledgeangel Hey there, may we know the platform that you are using to purchase bundles as well as the bundle t… https://t.co/FswT0uOx2c"
2095,"@Ajaymsevenzi Hi there, may we know if you are still facing this challenge. ^EVM"
2096,"@bentavonga2 Hey there, we are looking into the issue. ^EVM"
2097,"@brandonreinz Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.00 - 45M… https://t.co/XyoSCDJsZf"
2098,"@anesukhun2 Hey there, it usually takes up to 72 hours excluding holidays and weekends. ^EVM"
2099,@ThatBoy_Spectre We are sorry about this. May you DM your number so we can check and advise. ^EVM
2100,"@ghots101 @econetzimbabwe Hi there, may we know the exact network challenge that you are facing. ^EVM"
2101,"@tm_praise Hi Buddie, we apologize for the late response. May you kindly check your DM for the response. ^EC"
2102,@simonkamkweshe @EcoCashZW may you kindly assist. ^EVM
2103,@AuxiliaK @econetzimbabwe @iflixZW @Otis_Mak @melmudiwa @tnavdeep @fayaz_king @MMasiyazi @FungaiMandiveyi @KezitoM… https://t.co/f8Tgh5EOmO
2104,"@reddrigg85 Hi Buddie, thank you for getting in touch. We do value the feedback you provided and we have taken note… https://t.co/wNFN5axp57"
2105,"@silasmparadza Hi Buddie, our 111 platforms get congested at times and we apologize for the experience you had tryi… https://t.co/A7Zq4FFTKK"
2106,"@trismeetstrista Hi Buddie, thank you for getting in touch. Kindly note all the data and social media bouquets are… https://t.co/tQzqswU03N"
2107,"@MafaroDexter Hi Buddie, we apologize for the experience. Kindly note that we were experiencing intermittent challe… https://t.co/afW58N2uIW"
2108,"@MafaroDexter Hi Buddie, we apologize for the experience. Kindly note that we were experiencing intermittent challe… https://t.co/xCYE8qlz96"
2109,"@p_ntonde Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, amount, date and meter… https://t.co/6i9QzVhQlS"
2110,"@p_ntonde Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, amount, date and meter… https://t.co/pP2aTQ8UD2"
2111,"@david_chak Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, location and device n… https://t.co/bg2LnkxCgR"
2112,"@david_chak Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, location and device n… https://t.co/vqShXB2A0Q"
2113,"@tat3nda1 Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, device name and bundle… https://t.co/kvZruUMf53"
2114,"@TrizerMuringa Hi there, tirikuwongorora danbudziko iri. ^EVM"
2115,"@Peace_GT @Aay_Bee17 Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.0… https://t.co/BcHKUsNU4t"
2116,"@Aay_Bee17 Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.00 - 45Mb
•… https://t.co/D331SpDsmj"
2117,"@Peace_GT Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.00 - 45Mb
•W… https://t.co/wbYNdd7Py6"
2118,"@victor_mandabva Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.00 -… https://t.co/ogbDB9HONc"
2119,"@rumbielyndah Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, date and amount so… https://t.co/aqW3WZjmPJ"
2120,"@Taleboss1 Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, date and amount so we can check and assist. ^EC"
2121,"@Chopperblades Hi Buddie, kindly note the follow value for the social media bundles:
•Daily
$0.50 - 20Mb
$1.00 - 45… https://t.co/2TkH30XhE2"
2122,@KagunaPhillip @MasiwaStrive @BancABC @EcoCashZW kindly assist. ^EVM
2123,"@Ndle_Nkosi Hey there, may you note that this issue is being looked into. ^EVM"
2124,"@Ndle_Nkosi Hey there, we are looking into the issue. ^EVM"
2125,"@ChiutaTafadzwa Hi there, may you DM your number, type of transaction and amount. ^EVM"
2126,"@VongaiMashoko Hi Buddie, kindly note that the weekly social media bouquets have 140MB plus free WIFI-zone and Ifli… https://t.co/sRmPZjGqxg"
2127,"@JAM_ENGINEERS Hi Buddie, kindly note that we have revamped and update our data and social media bundle offerings.… https://t.co/Ysn4L0YX0R"
2128,"@tengfei855 Hi Buddie, we apologize for the late response. May you kindly find check on the file below for the soci… https://t.co/YDeG3vGp5B"
2129,"@passmor65115117 Hi there, simply dial ##002# to cancel call forwarding. ^EVM"
2130,"@narrenm1 Hey there, please check your DM for our response. ^EVM"
2131,"@mfacewezvese Hi Buddie, we are sorry you feel this way. How may we assist you? ^EC"
2132,"@DrMartinStrange Hi Buddie, we apologize for the experience. Kindly note that we are working to updating our Menu.… https://t.co/nqKBPKwq4k"
2133,"@taft_zim Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, device name and the int… https://t.co/XB57sjsml8"
2134,"@sifundo_maphosa Hi Buddie, we apologize for the late response. May you kindly check your DM for the response. ^EC"
2135,"@fres_co_ Hi there, how may we assist you? ^EVM"
2136,"@tafie187 Hi Buddie, we apologize for the experience. May you kindly DM your mobile number, date and amount so we can check and assist. ^EC"
2137,"@mfacewezvese Hi Buddie, we apologize for the experience. Kindly note that we are working to update and rectify the… https://t.co/ZyHIjyx8Fc"
